,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,pct.diff
ANKRD10,9.56E-13,0.324645701,0.531,0.236,1.36E-08,1,ANKRD10,0.295
TAF12,9.72E-13,0.266387177,0.317,0.077,1.39E-08,1,TAF12,0.24
CTSD,1.05E-12,0.318589209,0.982,0.852,1.50E-08,1,CTSD,0.13
PEX2,1.11E-12,0.30899354,0.348,0.101,1.59E-08,1,PEX2,0.247
SDC1,1.13E-12,0.296433535,0.893,0.69,1.62E-08,1,SDC1,0.203
CD44,1.17E-12,0.31425537,0.71,0.418,1.67E-08,1,CD44,0.292
NOL3,1.22E-12,0.255016765,0.353,0.098,1.74E-08,1,NOL3,0.255
C14orf119,1.23E-12,0.295473168,0.446,0.158,1.75E-08,1,C14orf119,0.288
COPE,1.23E-12,0.277266801,0.888,0.734,1.75E-08,1,COPE,0.154
C7orf50,1.38E-12,0.314346949,0.451,0.172,1.97E-08,1,C7orf50,0.279
DPCD,1.39E-12,0.259968282,0.299,0.067,1.99E-08,1,DPCD,0.232
APH1A,1.45E-12,0.353097123,0.665,0.391,2.07E-08,1,APH1A,0.274
SLC25A4,1.47E-12,0.334107272,0.54,0.239,2.10E-08,1,SLC25A4,0.301
MB,1.51E-12,0.252910598,0.263,0.047,2.16E-08,1,MB,0.216
SNRNP25,1.74E-12,0.27314415,0.353,0.098,2.48E-08,1,SNRNP25,0.255
TPM3,1.77E-12,0.303139496,0.857,0.667,2.53E-08,1,TPM3,0.19
FLOT1,1.86E-12,0.306329699,0.719,0.448,2.66E-08,1,FLOT1,0.271
AIFM1,1.88E-12,0.275855537,0.308,0.074,2.68E-08,1,AIFM1,0.234
NDUFS3,1.91E-12,0.282086087,0.455,0.175,2.73E-08,1,NDUFS3,0.28
SLC39A1,1.92E-12,0.353810268,0.482,0.195,2.74E-08,1,SLC39A1,0.287
MAGED1,2.06E-12,0.314793405,0.5,0.205,2.94E-08,1,MAGED1,0.295
APEX1,2.07E-12,0.336844291,0.786,0.562,2.96E-08,1,APEX1,0.224
ZDHHC16,2.07E-12,0.273275457,0.375,0.114,2.96E-08,1,ZDHHC16,0.261
UBE2E3,2.13E-12,0.295581568,0.451,0.172,3.04E-08,1,UBE2E3,0.279
SPCS2,2.14E-12,0.28746968,0.924,0.815,3.06E-08,1,SPCS2,0.109
TYMP,2.22E-12,0.296932595,0.589,0.276,3.16E-08,1,TYMP,0.313
SFTPA2,2.24E-12,0.910215015,0.862,0.744,3.20E-08,1,SFTPA2,0.118
AP2A2,2.25E-12,0.255178634,0.348,0.098,3.22E-08,1,AP2A2,0.25
AL035661.1,2.28E-12,0.302406089,0.379,0.121,3.25E-08,1,AL035661.1,0.258
SLC10A3,2.31E-12,0.282086087,0.317,0.081,3.30E-08,1,SLC10A3,0.236
BPHL,2.33E-12,0.27275476,0.312,0.077,3.33E-08,1,BPHL,0.235
GRHPR,2.39E-12,0.295654816,0.438,0.158,3.40E-08,1,GRHPR,0.28
TERF2IP,2.41E-12,0.327064082,0.549,0.253,3.43E-08,1,TERF2IP,0.296
PSMB1,2.41E-12,0.323015892,0.911,0.815,3.45E-08,1,PSMB1,0.096
COX11,2.45E-12,0.25214373,0.362,0.104,3.49E-08,1,COX11,0.258
GPS1,2.77E-12,0.290620989,0.393,0.128,3.96E-08,1,GPS1,0.265
TMEM256,2.81E-12,0.33900345,0.647,0.367,4.01E-08,1,TMEM256,0.28
VAMP8,2.82E-12,0.332162425,0.973,0.912,4.02E-08,1,VAMP8,0.061
ACAD8,2.85E-12,0.25102769,0.321,0.081,4.06E-08,1,ACAD8,0.24
MRPS21,2.98E-12,0.339869529,0.857,0.67,4.25E-08,1,MRPS21,0.187
IDH3B,3.01E-12,0.290431059,0.42,0.148,4.29E-08,1,IDH3B,0.272
PRDX6,3.07E-12,0.278525252,0.955,0.835,4.39E-08,1,PRDX6,0.12
PPP1CC,3.10E-12,0.268368451,0.446,0.162,4.43E-08,1,PPP1CC,0.284
